"state","lga","itn_campaign_net_quantity","itn_campaign_bale_quantity","itn_routine_net_quantity","intervention","total_cost","target_value","target"
"Rivers","Omumma",104786.043438566,2095.72086877132,9230.67682912361,"cm_public",90781429.1951969,189832.263616002,"Population"
"Rivers","Omumma",104786.043438566,2095.72086877132,9230.67682912361,"itn_campaign",818806526.31243,189832.263616002,"Population"
"Rivers","Omumma",104786.043438566,2095.72086877132,9230.67682912361,"itn_routine",69275860.3754995,32081.6525511044,"Population"
"Rivers","Omumma",104786.043438566,2095.72086877132,9230.67682912361,"smc",91930978.4588707,21460.5374017891,"Population"
"Rivers","Omumma",104786.043438566,2095.72086877132,9230.67682912361,"pmc",79456192.259114,15186.5810892802,"Population"
"Rivers","Omumma",104786.043438566,2095.72086877132,9230.67682912361,"iptp",10080367.6724413,9491.61318080011,"Population"
"Rivers","Omumma",104786.043438566,2095.72086877132,9230.67682912361,"cm_private",NA,189832.263616002,"Population"
"Rivers","Opobo/Nkoro",159528.68248044,3190.57364960879,14052.994698823,"vacc",225254182.144011,9248.16012917064,"Population"
"Rivers","Opobo/Nkoro",159528.68248044,3190.57364960879,14052.994698823,"cm_public",138207735.667505,289005.004036583,"Population"
"Rivers","Opobo/Nkoro",159528.68248044,3190.57364960879,14052.994698823,"itn_campaign",1246569887.19676,289005.004036583,"Population"
"Rivers","Opobo/Nkoro",159528.68248044,3190.57364960879,14052.994698823,"itn_routine",105467163.094879,48841.8456821825,"Population"
"Rivers","Opobo/Nkoro",159528.68248044,3190.57364960879,14052.994698823,"smc",139957835.904735,32672.0157063356,"Population"
"Rivers","Opobo/Nkoro",159528.68248044,3190.57364960879,14052.994698823,"pmc",120965934.489552,23120.4003229266,"Population"
"Rivers","Opobo/Nkoro",159528.68248044,3190.57364960879,14052.994698823,"iptp",15346583.5805298,14450.2502018291,"Population"
"Rivers","Opobo/Nkoro",159528.68248044,3190.57364960879,14052.994698823,"cm_private",NA,289005.004036583,"Population"
"Rivers","Oyigbo",130821.807488932,2616.43614977864,11524.185736053,"vacc",184720131.792814,7583.97176754422,"Population"
"Rivers","Oyigbo",130821.807488932,2616.43614977864,11524.185736053,"cm_public",113337523.433709,236999.117735757,"Population"
"Rivers","Oyigbo",130821.807488932,2616.43614977864,11524.185736053,"itn_campaign",1022252069.46311,236999.117735757,"Population"
"Rivers","Oyigbo",130821.807488932,2616.43614977864,11524.185736053,"itn_routine",86488552.9816483,40052.8508973429,"Population"
"Rivers","Oyigbo",130821.807488932,2616.43614977864,11524.185736053,"smc",114772696.549674,26792.7502600273,"Population"
"Rivers","Oyigbo",130821.807488932,2616.43614977864,11524.185736053,"pmc",99198350.7194787,18959.9294188606,"Population"
"Rivers","Oyigbo",130821.807488932,2616.43614977864,11524.185736053,"iptp",12584995.8237513,11849.9558867878,"Population"
"Rivers","Oyigbo",130821.807488932,2616.43614977864,11524.185736053,"cm_private",NA,236999.117735757,"Population"
"Rivers","Port Harcourt",562152.468245082,11243.0493649016,49520.4093291942,"vacc",793758166.280283,32588.9737350303,"Population"
"Rivers","Port Harcourt",562152.468245082,11243.0493649016,49520.4093291942,"cm_public",487021007.934283,1018405.4292197,"Population"
"Rivers","Port Harcourt",562152.468245082,11243.0493649016,49520.4093291942,"itn_campaign",4392704359.06453,1018405.4292197,"Population"
"Rivers","Port Harcourt",562152.468245082,11243.0493649016,49520.4093291942,"itn_routine",371648691.199229,172110.517538129,"Population"
"Rivers","Port Harcourt",562152.468245082,11243.0493649016,49520.4093291942,"smc",493188069.259796,115130.733773287,"Population"
"Rivers","Port Harcourt",562152.468245082,11243.0493649016,49520.4093291942,"pmc",426263776.454196,81472.4343375757,"Population"
"Rivers","Port Harcourt",562152.468245082,11243.0493649016,49520.4093291942,"iptp",54078800.7823113,50920.2714609848,"Population"
"Rivers","Port Harcourt",562152.468245082,11243.0493649016,49520.4093291942,"cm_private",NA,1018405.4292197,"Population"
"Rivers","Tai",125578.747599385,2511.57495198769,11062.3208745886,"vacc",177316941.664312,7280.02230421612,"Population"
"Rivers","Tai",125578.747599385,2511.57495198769,11062.3208745886,"cm_public",108795196.473839,227500.697006754,"Population"
"Rivers","Tai",125578.747599385,2511.57495198769,11062.3208745886,"itn_campaign",981282380.041402,227500.697006754,"Population"
"Rivers","Tai",125578.747599385,2511.57495198769,11062.3208745886,"itn_routine",83022275.6709525,38447.6177941414,"Population"
"Rivers","Tai",125578.747599385,2511.57495198769,11062.3208745886,"smc",110172850.902795,25718.9537966135,"Population"
"Rivers","Tai",125578.747599385,2511.57495198769,11062.3208745886,"pmc",95222691.7391469,18200.0557605403,"Population"
"Rivers","Tai",125578.747599385,2511.57495198769,11062.3208745886,"iptp",12080615.9494768,11375.0348503377,"Population"
"Rivers","Tai",125578.747599385,2511.57495198769,11062.3208745886,"cm_private",NA,227500.697006754,"Population"
"Ekiti","Ado Ekiti",318641.523514458,6372.83047028916,37679.5495091902,"vacc",437505105.050782,17962.4512642898,"Population"
"Ekiti","Ado Ekiti",318641.523514458,6372.83047028916,37679.5495091902,"cm_public",153040380.212262,561326.602009055,"Population"
"Ekiti","Ado Ekiti",318641.523514458,6372.83047028916,37679.5495091902,"itn_campaign",2489890356.06386,561326.602009055,"Population"
"Ekiti","Ado Ekiti",318641.523514458,6372.83047028916,37679.5495091902,"itn_routine",282783511.884492,92618.889331494,"Population"
"Ekiti","Ado Ekiti",318641.523514458,6372.83047028916,37679.5495091902,"smc",262698963.682855,61324.9312694892,"Population"
"Ekiti","Ado Ekiti",318641.523514458,6372.83047028916,37679.5495091902,"pmc",234948862.53691,44906.1281607244,"Population"
"Ekiti","Ado Ekiti",318641.523514458,6372.83047028916,37679.5495091902,"iptp",32597269.6816039,28066.3301004527,"Population"
"Ekiti","Ado Ekiti",318641.523514458,6372.83047028916,37679.5495091902,"cm_private",NA,561326.602009055,"Population"
"Ekiti","Aiyekire (Gboyin)",150335.129709638,3006.70259419275,17777.2184252308,"vacc",206414989.455866,8474.68782767579,"Population"
"Ekiti","Aiyekire (Gboyin)",150335.129709638,3006.70259419275,17777.2184252308,"cm_public",72204479.6806865,264833.994614868,"Population"
"Ekiti","Aiyekire (Gboyin)",150335.129709638,3006.70259419275,17777.2184252308,"itn_campaign",1174730730.36149,264833.994614868,"Population"
"Ekiti","Aiyekire (Gboyin)",150335.129709638,3006.70259419275,17777.2184252308,"itn_routine",133417313.19262,43697.6091114533,"Population"
"Ekiti","Aiyekire (Gboyin)",150335.129709638,3006.70259419275,17777.2184252308,"smc",123941419.637537,28933.1139116744,"Population"
"Ekiti","Aiyekire (Gboyin)",150335.129709638,3006.70259419275,17777.2184252308,"pmc",110848916.785999,21186.7195691895,"Population"
"Ekiti","Aiyekire (Gboyin)",150335.129709638,3006.70259419275,17777.2184252308,"iptp",15379397.8628828,13241.6997307434,"Population"
"Ekiti","Aiyekire (Gboyin)",150335.129709638,3006.70259419275,17777.2184252308,"cm_private",NA,264833.994614868,"Population"
"Ekiti","Efon Alayee",88563.2264677071,1771.26452935414,10472.6541587483,"vacc",121600170.850402,4992.4837845632,"Population"
"Ekiti","Efon Alayee",88563.2264677071,1771.26452935414,10472.6541587483,"cm_public",42536043.9592161,156015.1182676,"Population"
"Ekiti","Efon Alayee",88563.2264677071,1771.26452935414,10472.6541587483,"itn_campaign",692040136.676781,156015.1182676,"Population"
"Ekiti","Efon Alayee",88563.2264677071,1771.26452935414,10472.6541587483,"itn_routine",78596850.5552396,25742.494514154,"Population"
"Ekiti","Efon Alayee",88563.2264677071,1771.26452935414,10472.6541587483,"smc",73014551.1384394,17044.6516707353,"Population"
"Ekiti","Efon Alayee",88563.2264677071,1771.26452935414,10472.6541587483,"pmc",65301687.9020867,12481.209461408,"Population"
"Ekiti","Efon Alayee",88563.2264677071,1771.26452935414,10472.6541587483,"iptp",9060085.2807868,7800.75591338,"Population"
"Ekiti","Efon Alayee",88563.2264677071,1771.26452935414,10472.6541587483,"cm_private",NA,156015.1182676,"Population"
"Ekiti","Ekiti East",140523.664646594,2810.47329293188,16617.0068510357,"vacc",192943530.978753,7921.59618700578,"Population"
"Ekiti","Ekiti East",140523.664646594,2810.47329293188,16617.0068510357,"cm_public",67492129.805108,247549.880843931,"Population"
"Ekiti","Ekiti East",140523.664646594,2810.47329293188,16617.0068510357,"itn_campaign",1098063157.44166,247549.880843931,"Population"
"Ekiti","Ekiti East",140523.664646594,2810.47329293188,16617.0068510357,"itn_routine",124709971.736749,40845.7303392486,"Population"
"Ekiti","Ekiti East",140523.664646594,2810.47329293188,16617.0068510357,"smc",115852512.46736,27044.8244821994,"Population"
"Ekiti","Ekiti East",140523.664646594,2810.47329293188,16617.0068510357,"pmc",103614478.126036,19803.9904675145,"Population"
"Ekiti","Ekiti East",140523.664646594,2810.47329293188,16617.0068510357,"iptp",14375677.5407348,12377.4940421965,"Population"
"Ekiti","Ekiti East",140523.664646594,2810.47329293188,16617.0068510357,"cm_private",NA,247549.880843931,"Population"
"Ekiti","Ekiti South West",167692.85980564,3353.85719611281,19829.7803239621,"vacc",230247713.59469,9453.17731476235,"Population"
"Ekiti","Ekiti South West",167692.85980564,3353.85719611281,19829.7803239621,"cm_public",80541226.2045386,295411.791086324,"Population"
"Ekiti","Ekiti South West",167692.85980564,3353.85719611281,19829.7803239621,"itn_campaign",1310365421.95006,295411.791086324,"Population"
"Ekiti","Ekiti South West",167692.85980564,3353.85719611281,19829.7803239621,"itn_routine",148821708.140123,48742.9455292434,"Population"
"Ekiti","Ekiti South West",167692.85980564,3353.85719611281,19829.7803239621,"smc",138251725.644781,32273.7381761808,"Population"
"Ekiti","Ekiti South West",167692.85980564,3353.85719611281,19829.7803239621,"pmc",123647559.277092,23632.9432869059,"Population"
