state,lga,pop_2025_projected,pop_number_children_u5,prev_u5_dhs_2021,percentage_urban_pop,chemoprevention_split,code_cm_public,code_iptp,code_smc,code_pmc,code_vacc,code_irs,code_lsm,code_itn_campaign,code_itn_routine,code_itn_urban,code_cm_private
Yobe,Yusufari,214071,40459,62.6,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Jigawa,Auyo,228112,45851,54.3,22,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Babura,367267,73821,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Birnin Kudu,541718,108885,54.3,31,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Biriniwa,244922,49229,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Buji,167778,33723,54.3,2,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Dutse,433113,87056,54.3,58,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Gagarawa,141683,28478,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Garki,259143,52088,54.3,7,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Gumel,183450,36873,54.3,72,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Guri,195508,39297,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Gwaram,468007,94069,54.3,7,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Gwiwa,222011,44624,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Hadejia,179854,36151,54.3,99,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Jahun,396460,79688,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Kafin Hausa,460964,92654,54.3,17,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Kaugama,222444,44711,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Kazaure,277942,55866,54.3,52,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Kiri Kasamma,332133,66759,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Kiyawa,298277,59954,54.3,17,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Maigatari,305356,61377,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Malam Madori,284202,57125,54.3,9,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Miga,220538,44328,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Ringim,331829,66698,54.3,30,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Roni,133510,26835,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Sule Tankarkar,232501,46733,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Taura,227410,45709,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Jigawa,Yankwashi,164948,33155,54.3,0,SMC,1,1,1,0,1,1,1,0,1,0,1
Kaduna,Birnin Gwari,459314,88188,31.9,14,SMC,1,1,1,0,1,1,1,1,1,0,1
Kaduna,Chikun,661262,126962,31.9,70,SMC,1,1,1,0,1,1,1,1,1,1,1
Kaduna,Giwa,519358,99717,31.9,11,SMC,1,1,1,0,1,1,1,1,1,1,1
Kaduna,Igabi,765141,146907,31.9,52,SMC,1,1,1,0,1,1,1,1,1,1,1
Kaduna,Ikara,345884,66410,31.9,33,SMC,1,1,1,0,1,1,1,1,1,0,1
Kaduna,Jaba,277053,53194,31.9,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Kaduna,Jema'a,494167,94880,31.9,33,SMC,1,1,1,0,1,1,1,1,1,0,1
Kaduna,Kachia,448633,86138,31.9,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Kaduna,Kaduna North,647590,124337,31.9,100,SMC,1,1,1,0,1,1,1,1,1,1,1
Kaduna,Kaduna South,715366,137350,31.9,100,SMC,1,1,1,0,1,1,1,1,1,1,1
Kaduna,Kagarko,424636,81530,31.9,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Kaduna,Kajuru,195054,37450,31.9,0,SMC,1,1,1,0,1,1,1,1,1,0,1
Kaduna,Kaura,310186,59556,31.9,54,SMC,1,1,1,0,1,1,1,1,1,0,1
