"state","lga","pop_2025_projected","pop_number_children_u5","pop_number_pw","admin_number_states","admin_number_lgas","admin_number_wards","currency","full_cost","cost_per_person"
"Nasarawa","Wamba",128637.819786835,24569.8235792855,6431.89098934176,NA,1,10,"USD",589880.083359582,4.58558831560632
"Niger","Agaie",250254.77776671,49800.7007755753,12512.7388883355,NA,1,11,"Naira",1890581938.07235,7554.62874652795
"Niger","Agaie",250254.77776671,49800.7007755753,12512.7388883355,NA,1,11,"USD",1181613.71129522,4.72164296657997
"Niger","Agwara",108641.771567984,21619.7125420288,5432.08857839919,NA,1,10,"Naira",839499685.989165,7727.22750994388
"Niger","Agwara",108641.771567984,21619.7125420288,5432.08857839919,NA,1,10,"USD",524687.303743228,4.82951719371492
"Niger","Bida",351523.299209272,69953.136542645,17576.1649604636,NA,1,14,"Naira",2624887465.93652,7467.17919364386
"Niger","Bida",351523.299209272,69953.136542645,17576.1649604636,NA,1,14,"USD",1640554.66621032,4.6669869960274
"Niger","Borgu",327429.518352355,65158.4741521186,16371.4759176177,NA,1,10,"Naira",2458410817.8778,7508.21376841242
"Niger","Borgu",327429.518352355,65158.4741521186,16371.4759176177,NA,1,10,"USD",1536506.76117362,4.69263360525775
"Niger","Bosso",280638.175894028,55846.9970029116,14031.9087947014,NA,1,10,"Naira",2121812425.16065,7560.66924395158
"Niger","Bosso",280638.175894028,55846.9970029116,14031.9087947014,NA,1,10,"USD",1326132.76572541,4.72541827746975
"Niger","Chanchaga",382967.596635212,76210.5517304071,19148.3798317606,NA,1,11,"Naira",2861526625.78254,7471.98105250724
"Niger","Chanchaga",382967.596635212,76210.5517304071,19148.3798317606,NA,1,11,"USD",1788454.14111408,4.66998815781701
"Niger","Edati",302769.293048495,60251.0893166505,15138.4646524247,NA,1,10,"Naira",2278064190.34328,7524.09257691268
"Niger","Edati",302769.293048495,60251.0893166505,15138.4646524247,NA,1,10,"USD",1423790.11896455,4.70255786057042
"Niger","Gbako",240303.16345303,47820.3295271529,12015.1581726515,NA,1,10,"Naira",1835190827.05868,7636.98155566474
"Niger","Gbako",240303.16345303,47820.3295271529,12015.1581726515,NA,1,10,"USD",1146994.26691167,4.77311347229044
"Niger","Gurara",172166.905999037,34261.2142938084,8608.34529995187,NA,1,10,"Naira",1313145469.80014,7627.16540777869
"Niger","Gurara",172166.905999037,34261.2142938084,8608.34529995187,NA,1,10,"USD",820715.918625086,4.76697837986167
"Niger","Katcha",229027.319479106,45576.436576342,11451.3659739553,NA,1,10,"Naira",1737280669.13923,7585.47352818196
"Niger","Katcha",229027.319479106,45576.436576342,11451.3659739553,NA,1,10,"USD",1085800.41821202,4.74092095511373
"Niger","Kontagora",287897.758237456,57291.6538892536,14394.8879118728,NA,1,13,"Naira",2162797874.52,7512.38178359187
"Niger","Kontagora",287897.758237456,57291.6538892536,14394.8879118728,NA,1,13,"USD",1351748.671575,4.69523861474492
"Niger","Lapai",221691.958614348,44116.6997642553,11084.5979307174,NA,1,10,"Naira",1680340003.78303,7579.61639333127
"Niger","Lapai",221691.958614348,44116.6997642553,11084.5979307174,NA,1,10,"USD",1050212.5023644,4.73726024583207
"Niger","Lavun",397414.771726802,79085.5395736337,19870.7385863401,NA,1,12,"Naira",2992448898.48687,7529.78779697699
"Niger","Lavun",397414.771726802,79085.5395736337,19870.7385863401,NA,1,12,"USD",1870280.56155429,4.70611737311061
"Niger","Magama",343788.206644498,68413.8531222551,17189.4103322249,NA,1,11,"Naira",2576907541.24959,7495.6251885461
"Niger","Magama",343788.206644498,68413.8531222551,17189.4103322249,NA,1,11,"USD",1610567.21328099,4.6847657428413
"Niger","Mariga",378134.821437382,75248.8294660391,18906.7410718691,NA,1,11,"Naira",2833982130.17828,7494.63410802958
"Niger","Mariga",378134.821437382,75248.8294660391,18906.7410718691,NA,1,11,"USD",1771238.83136143,4.6841463175185
"Niger","Mashegu",407682.761367036,81128.8695120401,20384.1380683518,NA,1,10,"Naira",3042579794.36832,7463.10632356881
"Niger","Mashegu",407682.761367036,81128.8695120401,20384.1380683518,NA,1,10,"USD",1901612.3714802,4.66444145223051
"Niger","Mokwa",460085.503329859,91557.0151626419,23004.2751664929,NA,1,11,"Naira",3448621753.06529,7495.61055087796
"Niger","Mokwa",460085.503329859,91557.0151626419,23004.2751664929,NA,1,11,"USD",2155388.59566581,4.68475659429874
"Niger","Muya",196003.039883432,39004.6049368029,9800.1519941716,NA,1,11,"Naira",1488628382.88498,7594.92497550194
"Niger","Muya",196003.039883432,39004.6049368029,9800.1519941716,NA,1,11,"USD",930392.739303112,4.74682810968871
"Niger","Paikoro",299662.373673959,59632.8123611179,14983.118683698,NA,1,11,"Naira",2254414380.82692,7523.18134968718
"Niger","Paikoro",299662.373673959,59632.8123611179,14983.118683698,NA,1,11,"USD",1409008.98801682,4.70198834355447
"Niger","Rafi",352593.67082306,70166.1404937889,17629.683541153,NA,1,11,"Naira",2651654380.43131,7520.42535035172
"Niger","Rafi",352593.67082306,70166.1404937889,17629.683541153,NA,1,11,"USD",1657283.98776957,4.70026584396983
"Niger","Rijau",333802.491996219,66426.6959072476,16690.124599811,NA,1,11,"Naira",2501476083.37032,7493.88079283319
"Niger","Rijau",333802.491996219,66426.6959072476,16690.124599811,NA,1,11,"USD",1563422.55210645,4.68367549552074
"Niger","Shiroro",446458.630731667,88845.2675156017,22322.9315365833,NA,1,15,"Naira",3369187957.58804,7546.47289955294
"Niger","Shiroro",446458.630731667,88845.2675156017,22322.9315365833,NA,1,15,"USD",2105742.47349252,4.71654556222058
"Niger","Suleja",407451.636876979,81082.8757385188,20372.581843849,NA,1,10,"Naira",3033385134.85452,7444.77346588838
"Niger","Suleja",407451.636876979,81082.8757385188,20372.581843849,NA,1,10,"USD",1895865.70928407,4.65298341618022
"Niger","Tafa",158896.192451097,31620.3422977683,7944.80962255486,NA,1,10,"Naira",1205562152.47055,7587.10535396613
"Niger","Tafa",158896.192451097,31620.3422977683,7944.80962255486,NA,1,10,"USD",753476.345294091,4.74194084622881
"Niger","Wushishi",154883.719746666,30821.8602295866,7744.18598733333,NA,1,11,"Naira",1179750111.61321,7617.00528333679
"Niger","Wushishi",154883.719746666,30821.8602295866,7744.18598733333,NA,1,11,"USD",737343.819758253,4.76062830208547
"Plateau","Barikin Ladi",311817.782522591,53320.8408113631,15590.8891261296,NA,1,11,"Naira",1267489432.36325,4064.84011947401
"Plateau","Barikin Ladi",311817.782522591,53320.8408113631,15590.8891261296,NA,1,11,"USD",792180.895227029,2.54052507467125
"Plateau","Bassa",329210.071618662,56294.9222467912,16460.5035809331,NA,1,16,"Naira",1336561610.70186,4059.90498446857
"Plateau","Bassa",329210.071618662,56294.9222467912,16460.5035809331,NA,1,16,"USD",835351.006688664,2.53744061529286
"Plateau","Bokkos",311375.561591342,53245.2210321195,15568.7780795671,NA,1,14,"Naira",1286349091.10364,4131.18192233686
"Plateau","Bokkos",311375.561591342,53245.2210321195,15568.7780795671,NA,1,14,"USD",803968.181939778,2.58198870146055
"Plateau","Jos East",153131.570393078,26185.4985372163,7656.57851965388,NA,1,10,"Naira",640640874.406129,4183.59762628731
"Plateau","Jos East",153131.570393078,26185.4985372163,7656.57851965388,NA,1,10,"USD",400400.54650383,2.61474851642956
"Plateau","Jos North",758221.60352148,129655.894202173,37911.080176074,NA,1,14,"Naira",2995320751.14669,3950.45556237812
"Plateau","Jos North",758221.60352148,129655.894202173,37911.080176074,NA,1,14,"USD",1872075.46946668,2.46903472648632
"Plateau","Jos South",540015.922445286,92342.7227381439,27000.7961222643,NA,1,12,"Naira",2146974467.72906,3975.76141460271
"Plateau","Jos South",540015.922445286,92342.7227381439,27000.7961222643,NA,1,12,"USD",1341859.04233066,2.48485088412669
"Plateau","Kanam",290684.824608071,49707.1050079801,14534.2412304035,NA,1,14,"Naira",1184958382.91336,4076.43702938753
"Plateau","Kanam",290684.824608071,49707.1050079801,14534.2412304035,NA,1,14,"USD",740598.989320851,2.54777314336721
"Plateau","Kanke",215505.532095978,36851.4459884123,10775.2766047989,NA,1,10,"Naira",893020800.94103,4143.84165573676
"Plateau","Kanke",215505.532095978,36851.4459884123,10775.2766047989,NA,1,10,"USD",558138.000588144,2.58990103483548
"Plateau","Langtang North",246804.368830038,42203.5470699366,12340.2184415019,NA,1,14,"Naira",1019934329.07188,4132.5618906457
"Plateau","Langtang North",246804.368830038,42203.5470699366,12340.2184415019,NA,1,14,"USD",637458.955669925,2.58285118165356
"Plateau","Langtang South",182390.988244201,31188.8589897583,9119.54941221003,NA,1,10,"Naira",754843274.092865,4138.59961700638
"Plateau","Langtang South",182390.988244201,31188.8589897583,9119.54941221003,NA,1,10,"USD",471777.046308041,2.58662476062899
"Plateau","Mangu",521161.702976497,89118.651208981,26058.0851488249,NA,1,16,"Naira",2097979516.86913,4025.58266443408
"Plateau","Mangu",521161.702976497,89118.651208981,26058.0851488249,NA,1,16,"USD",1311237.19804321,2.51598916527131
"Plateau","Mikang",167156.043612733,28583.6834577774,8357.80218063667,NA,1,10,"Naira",691142937.183668,4134.71701199693
"Plateau","Mikang",167156.043612733,28583.6834577774,8357.80218063667,NA,1,10,"USD",431964.335739792,2.58419813249808
"Plateau","Pankshin",329695.647543171,56377.9557298823,16484.7823771586,NA,1,12,"Naira",1348652706.78453,4090.59906260344
"Plateau","Pankshin",329695.647543171,56377.9557298823,16484.7823771586,NA,1,12,"USD",842907.941740333,2.55662441412716
"Plateau","Qua'an Pan",342115.986012217,58501.8336080891,17105.7993006109,NA,1,11,"Naira",1385228907.54692,4049.00374195742
"Plateau","Qua'an Pan",342115.986012217,58501.8336080891,17105.7993006109,NA,1,11,"USD",865768.067216826,2.53062733872339
"Plateau","Riyom",228529.372071199,39078.5226241751,11426.46860356,NA,1,10,"Naira",934138033.251567,4087.60600348796
"Plateau","Riyom",228529.372071199,39078.5226241751,11426.46860356,NA,1,10,"USD",583836.270782229,2.55475375217997
"Plateau","Shendam",355717.314497658,60827.6607790995,17785.8657248829,NA,1,11,"Naira",1434086620.7197,4031.53448615485
"Plateau","Shendam",355717.314497658,60827.6607790995,17785.8657248829,NA,1,11,"USD",896304.137949811,2.51970905384678
"Plateau","Wase",277230.903099713,47406.484430051,13861.5451549857,NA,1,12,"Naira",1132781541.20708,4086.05797023879
"Plateau","Wase",277230.903099713,47406.484430051,13861.5451549857,NA,1,12,"USD",707988.463254423,2.55378623139924
"Adamawa","Demsa",306550.527397816,53952.8928220156,15327.5263698908,NA,1,10,"Naira",1407296547.84867,4590.74906768109
"Adamawa","Demsa",306550.527397816,53952.8928220156,15327.5263698908,NA,1,10,"USD",879560.342405416,2.86921816730067
"Adamawa","Fufore",359907.814540609,63343.7753591472,17995.3907270305,NA,1,11,"Naira",1648030300.5696,4579.03450269111
"Adamawa","Fufore",359907.814540609,63343.7753591472,17995.3907270305,NA,1,11,"USD",1030018.937856,2.86189656418194
"Adamawa","Ganye",292015.722646555,51394.7671857937,14600.7861323278,NA,1,10,"Naira",1330642535.21863,4556.74962690002
"Adamawa","Ganye",292015.722646555,51394.7671857937,14600.7861323278,NA,1,10,"USD",831651.584511645,2.84796851681252
"Adamawa","Girei",223125.318710832,39270.0560931064,11156.2659355416,NA,1,10,"Naira",1021037001.70309,4576.06966167001
